Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	time	value	value.SD	norm.value	norm.value.SD
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16560	4617.1543	1280.8845	0.9711	0.2694
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3056E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16740	4543.6997	1259.5267	0.9557	0.2649
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3120E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16920	4678.6807	1306.8531	0.9841	0.2749
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3376E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	17100	4722.9902	1392.2565	0.9934	0.2928
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3120E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	17280	4702.4424	1283.1754	0.9891	0.2699
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	17460	4712.3076	1344.3662	0.9911	0.2828
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2864E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	17640	4614.8052	1276.7762	0.9706	0.2685
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2992E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	17820	4699.4531	1289.902	0.9884	0.2713
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3056E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18000	4667.4692	1357.0018	0.9817	0.2854
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3696E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18180	4631.2515	1291.3673	0.9741	0.2716
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3760E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18360	4580.4331	1282.0223	0.9634	0.2696
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3504E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18540	4523.3145	1284.3621	0.9514	0.2701
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18720	4556.7388	1302.0819	0.9584	0.2739
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3056E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	18900	4623.7261	1250.5551	0.9725	0.263
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3568E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19080	4672.5928	1242.3583	0.9828	0.2613
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3056E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19260	4665.0386	1241.2546	0.9812	0.2611
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3248E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19440	4637.5059	1212.7783	0.9754	0.2551
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3376E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	19620	4517.6221	1217.7699	0.9502	0.2561
